"Test","Group","Participant","word","nTrials","nCorrect","Accuracy"
"pre","HV","VID_Listener5","hear",6,4,0.666666666666667
"pre","HV","VID_Listener5","heard",6,0,0
"pre","HV","VID_Listener5","heed",6,2,0.333333333333333
"pre","HV","VID_Listener5","hid",6,4,0.666666666666667
"pre","HV","VID_Listener5","hide",6,6,1
"pre","HV","VID_Listener5","hoard",6,0,0
"pre","HV","VID_Listener5","hod",6,4,0.666666666666667
"pre","HV","VID_Listener5","hoed",6,1,0.166666666666667
"pre","HV","VID_Listener5","hood",6,2,0.333333333333333
"pre","HV","VID_Listener5","howd",6,3,0.5
"pre","HV","VID_Listener5","hoyd",6,4,0.666666666666667
"pre","HV","VID_Listener5","hud",6,2,0.333333333333333
"pre","HV","VID_Listener5","whod",7,2,0.285714285714286
"pre","LV","VID_Listener1","had",7,6,0.857142857142857
"pre","LV","VID_Listener1","haired",7,1,0.142857142857143
"pre","LV","VID_Listener1","hard",7,4,0.571428571428571
"pre","LV","VID_Listener1","hayed",7,5,0.714285714285714
"pre","LV","VID_Listener1","head",7,5,0.714285714285714
"pre","LV","VID_Listener1","hear",7,5,0.714285714285714
"pre","LV","VID_Listener1","heard",7,3,0.428571428571429
"pre","LV","VID_Listener1","heed",6,1,0.166666666666667
"pre","LV","VID_Listener1","hid",7,6,0.857142857142857
"pre","LV","VID_Listener1","hide",7,6,0.857142857142857
"pre","LV","VID_Listener1","hoard",7,1,0.142857142857143
"pre","LV","VID_Listener1","hod",7,2,0.285714285714286
"pre","LV","VID_Listener1","hoed",7,0,0
"pre","LV","VID_Listener1","hood",7,4,0.571428571428571
"pre","LV","VID_Listener1","howd",7,7,1
"pre","LV","VID_Listener1","hoyd",8,4,0.5
"pre","LV","VID_Listener1","hud",6,2,0.333333333333333
"pre","LV","VID_Listener1","whod",7,2,0.285714285714286
"pre","LV","VID_Listener2","had",9,3,0.333333333333333
"pre","LV","VID_Listener2","haired",9,0,0
"pre","LV","VID_Listener2","hard",9,7,0.777777777777778
"pre","LV","VID_Listener2","hayed",9,0,0
"pre","LV","VID_Listener2","head",7,1,0.142857142857143
"pre","LV","VID_Listener2","hear",7,5,0.714285714285714
"pre","LV","VID_Listener2","heard",7,1,0.142857142857143
"pre","LV","VID_Listener2","heed",7,4,0.571428571428571
