participant,group,speaker,image1,image2,image3,target,response,correct
C02-LV,LV,S06F,toys,mouse,food,toys,toys,1
C02-LV,LV,S08M,bike,paws,shark,paws,paws,1
C02-LV,LV,S0M,paws,cake,gate,cake,cake,1
C02-LV,LV,S07,clock,hat,bees,hat,hat,1
C02-LV,LV,S08M,piers,bears,lid,bears,bears,1
C02-LV,LV,S0M,pears,ten,teeth,teeth,teeth,1
C02-LV,LV,S07,lid,piers,cake,cake,cake,1
C02-LV,LV,S08M,shark,food,cake,food,food,1
C02-LV,LV,S0M,house,foot,shark,house,house,1
C02-LV,LV,S08M,teeth,foot,mouse,teeth,teeth,1
C02-LV,LV,S07,cup,foot,suit,foot,foot,1
C02-LV,LV,S0M,foot,shark,bike,shark,shark,1
C02-LV,LV,S0M,suit,gate,bike,bike,bike,1
C02-LV,LV,S08M,foot,gate,ring,ring,ring,1
C02-LV,LV,S07,tears,leg,food,tears,tears,1
C02-LV,LV,S06F,boys,bike,coat,boys,boys,1
C02-LV,LV,S0M,clock,boys,ball,ball,ball,1
C02-LV,LV,S08M,bike,clock,shark,clock,clock,1
C02-LV,LV,S06F,piers,leg,boys,piers,piers,1
C02-LV,LV,S0M,bike,lid,bears,bears,bears,1
C02-LV,LV,S06F,suit,road,ten,ten,ten,1
C02-LV,LV,S08M,leg,tears,shirt,shirt,shirt,1
C02-LV,LV,S06F,cup,ten,piers,cup,cup,1
C02-LV,LV,S07,bees,coat,bike,coat,coat,1
C02-LV,LV,S08M,bees,lid,cat,cat,cat,1
C02-LV,LV,S06F,tears,cat,cake,tears,tears,1
C02-LV,LV,S06F,ring,cat,kite,kite,kite,1
C02-LV,LV,S07,suit,cake,cup,cup,cup,1
C02-LV,LV,S06F,cake,leg,cut,cake,cake,1
C02-LV,LV,S0M,food,cut,cake,food,food,1
C02-LV,LV,S0M,shirt,boys,bike,boys,boys,1
C02-LV,LV,S06F,coat,bears,suit,bears,bears,1
C02-LV,LV,S07,piers,foot,skirt,skirt,skirt,1
C02-LV,LV,S07,ball,lid,toys,toys,toys,1
C02-LV,LV,S0M,shirt,clock,cake,shirt,shirt,1
C02-LV,LV,S06F,bees,skirt,book,bees,bees,1
C02-LV,LV,S06F,shark,shirt,piers,shark,shark,1
C02-LV,LV,S06F,bears,park,coat,park,park,1
C02-LV,LV,S06F,cake,ring,book,book,book,1
C02-LV,LV,S0M,boys,ring,clock,clock,clock,1
C02-LV,LV,S0M,cut,shirt,piers,cut,cut,1
C02-LV,LV,S0M,ring,mouse,coat,ring,ring,1
C02-LV,LV,S06F,teeth,cat,cup,teeth,teeth,1
C02-LV,LV,S08M,boys,lid,teeth,lid,lid,1
C03-LV,LV,S0M,ten,cat,gate,gate,ten,0
C03-LV,LV,S08M,house,tears,hat,house,house,1
C03-LV,LV,S08M,cake,gate,bees,cake,cake,1
C03-LV,LV,S07,cup,shark,suit,cup,cup,1
C03-LV,LV,S0M,foot,shirt,road,shirt,shirt,1
C03-LV,LV,S07,road,coat,shirt,coat,coat,1
C03-LV,LV,S06F,foot,shirt,leg,shirt,shirt,1
C03-LV,LV,S0M,bears,skirt,cake,bears,bears,1
C03-LV,LV,S0M,mouse,house,ball,ball,ball,1
C03-LV,LV,S06F,bees,cot,piers,cot,cot,1
C03-LV,LV,S0M,coat,bees,lid,coat,coat,1
C03-LV,LV,S0M,lid,kite,mouse,mouse,mouse,1
C03-LV,LV,S08M,teeth,pears,suit,pears,pears,1
C03-LV,LV,S0M,road,paws,cat,road,road,1
C03-LV,LV,S07,ring,ten,coat,ring,ring,1
C03-LV,LV,S08M,road,cut,bees,road,road,1
C03-LV,LV,S08M,leg,boys,cat,leg,leg,1
C03-LV,LV,S06F,bike,ball,mouse,ball,ball,1
C03-LV,LV,S0M,cake,lid,cot,cake,cake,1
C03-LV,LV,S07,kite,boys,leg,boys,boys,1
C03-LV,LV,S08M,ring,tears,cat,ring,ring,1
C03-LV,LV,S07,cut,hat,cat,cat,cat,1
C03-LV,LV,S0M,bike,house,tears,house,house,1
C03-LV,LV,S06F,teeth,bees,road,road,road,1
C03-LV,LV,S07,leg,cut,lid,lid,lid,1
C03-LV,LV,S0M,coat,tears,book,book,book,1
C03-LV,LV,S06F,hat,gate,piers,piers,piers,1
C03-LV,LV,S07,food,cot,paws,food,food,1
C03-LV,LV,S06F,foot,shark,shirt,shark,shark,1
C03-LV,LV,S07,ball,food,toys,toys,toys,1
C03-LV,LV,S08M,foot,park,gate,gate,gate,1
C03-LV,LV,S07,toys,cot,skirt,cot,cot,1
C03-LV,LV,S07,cake,book,foot,cake,cake,1
C03-LV,LV,S08M,bears,toys,skirt,bears,bears,1
C03-LV,LV,S07,boys,pears,clock,pears,pears,1
C03-LV,LV,S07,piers,clock,hat,clock,clock,1
C03-LV,LV,S06F,road,clock,ten,ten,ten,1
C03-LV,LV,S06F,leg,cup,road,leg,leg,1
C03-LV,LV,S0M,kite,coat,ring,kite,kite,1
C03-LV,LV,S0M,food,pears,cake,pears,pears,1
C03-LV,LV,S07,house,lid,piers,house,house,1
C03-LV,LV,S06F,skirt,cup,bees,skirt,skirt,1
C03-LV,LV,S07,road,foot,bike,bike,bike,1
C03-LV,LV,S07,mouse,park,food,park,park,1
C03-LV,LV,S07,toys,teeth,clock,teeth,teeth,1
C03-LV,LV,S08M,piers,tears,shirt,tears,tears,1
C03-LV,LV,S07,cup,suit,skirt,suit,suit,1
C03-LV,LV,S08M,cut,tears,shirt,cut,cut,1
C03-LV,LV,S08M,clock,coat,cat,cat,cat,1
C03-LV,LV,S06F,lid,house,ring,lid,lid,1
C03-LV,LV,S06F,coat,shirt,park,coat,coat,1
C03-LV,LV,S06F,shark,park,cup,park,park,1
C03-LV,LV,S08M,foot,clock,mouse,clock,clock,1
C03-LV,LV,S07,leg,suit,mouse,leg,leg,1
C03-LV,LV,S06F,cut,cot,mouse,cut,cut,1
C03-LV,LV,S08M,cut,cake,shark,shark,shark,1
C03-LV,LV,S0M,leg,tears,lid,lid,lid,1
C03-LV,LV,S07,cut,kite,skirt,cut,cut,1
C03-LV,LV,S07,bike,kite,foot,kite,kite,1
C03-LV,LV,S08M,ring,shirt,toys,shirt,shirt,1
C03-LV,LV,S06F,mouse,cat,ring,ring,ring,1
C03-LV,LV,S0M,cake,mouse,ten,ten,ten,1
C03-LV,LV,S08M,leg,suit,clock,suit,suit,1
C03-LV,LV,S08M,piers,boys,book,book,book,1
C03-LV,LV,S0M,bees,suit,cat,suit,suit,1
C03-LV,LV,S08M,cot,mouse,bees,mouse,mouse,1
C03-LV,LV,S08M,bees,toys,house,toys,toys,1
C03-LV,LV,S08M,paws,house,bike,bike,bike,1
C03-LV,LV,S08M,shirt,piers,cake,piers,piers,1
C03-LV,LV,S0M,lid,toys,cup,toys,toys,1
C03-LV,LV,S06F,foot,food,suit,suit,suit,1
C03-LV,LV,S07,road,foot,park,road,road,1
C03-LV,LV,S08M,lid,skirt,shirt,skirt,skirt,1
C03-LV,LV,S07,shirt,cup,mouse,shirt,shirt,1
C03-LV,LV,S0M,ring,cat,gate,cat,cat,1
C03-LV,LV,S0M,road,tears,bees,bees,bees,1
C03-LV,LV,S0M,mouse,paws,lid,paws,paws,1
C03-LV,LV,S06F,cat,leg,teeth,cat,cat,1
C03-LV,LV,S07,boys,piers,house,piers,piers,1
C03-LV,LV,S0M,cot,bike,park,bike,bike,1
C03-LV,LV,S08M,bees,shirt,cup,bees,bees,1
C03-LV,LV,S07,pears,book,mouse,book,book,1
C03-LV,LV,S08M,cake,food,cot,cot,cot,1
