Group,Test,participant,Pair,nTrials,nCorrect,Accuracy
HV,post,C03,bart-bot,6,4,0.666666667
HV,post,C03,bart-but,6,3,0.5
HV,post,C03,bat-but,6,1,0.166666667
HV,post,C03,beat-bit,6,6,1
HV,post,C03,bet-bit,6,3,0.5
HV,post,C03,bit-bite,6,5,0.833333333
HV,post,C03,board-buoyed,6,5,0.833333333
HV,post,C03,boat-bout,6,3,0.5
HV,post,C03,bot-but,6,4,0.666666667
HV,post,C03,poot-put,6,4,0.666666667
HV,post,C04,bait-bet,6,6,1
HV,post,C04,bait-bite,6,3,0.5
HV,post,C04,bared-beard,6,5,0.833333333
HV,post,C04,bared-bird,6,1,0.166666667
HV,post,C04,bart-bert,6,4,0.666666667
HV,post,C04,bart-bot,6,3,0.5
HV,post,C04,bart-but,6,2,0.333333333
HV,post,C04,bat-but,6,2,0.333333333
HV,post,C04,beat-bit,6,6,1
HV,post,C04,bet-bit,6,4,0.666666667
HV,post,C04,bit-bite,6,6,1
HV,post,C04,board-buoyed,6,3,0.5
HV,post,C04,boat-bout,6,5,0.833333333
HV,post,C04,bot-but,6,5,0.833333333
HV,post,C04,poot-put,6,5,0.833333333
HV,post,C05,bait-bet,6,6,1
HV,post,C05,bait-bite,6,6,1
HV,post,C05,bared-beard,6,6,1
HV,post,C05,bared-bird,6,3,0.5
HV,post,C05,bart-bert,6,5,0.833333333
HV,post,C05,bart-bot,6,5,0.833333333
HV,post,C05,bart-but,6,4,0.666666667
HV,post,C05,bat-but,6,3,0.5
HV,post,C05,beat-bit,6,6,1
HV,post,C05,bet-bit,6,6,1
HV,post,C05,bit-bite,6,6,1
HV,post,C05,board-buoyed,6,6,1
HV,post,C05,boat-bout,6,6,1
HV,post,C05,bot-but,6,5,0.833333333
HV,post,C05,poot-put,6,4,0.666666667
HV,post,C06,bait-bet,6,5,0.833333333
HV,post,C06,bait-bite,6,5,0.833333333
HV,post,C06,bared-beard,6,6,1
HV,post,C06,bared-bird,6,3,0.5
HV,post,C06,bart-bert,6,4,0.666666667
HV,post,C06,bart-bot,6,5,0.833333333
HV,post,C06,bart-but,6,4,0.666666667
HV,post,C06,bat-but,6,4,0.666666667
HV,post,C06,beat-bit,6,6,1
HV,post,C06,bet-bit,6,4,0.666666667
HV,post,C06,bit-bite,6,6,1
