participant,vowel,group,test,duration,f1,f2
C012,hear,LV,post,339,660,3231
C012,heard,LV,post,300,814,2180
C012,heed,LV,post,362,343,1261
C012,hid,LV,post,113,845,2357
C012,hide,LV,post,396,807,2371
C012,hoard,LV,post,334,684,923
C012,hod,LV,post,118,818,1257
C012,hoed,LV,post,296,609,2525
C012,hood,LV,post,132,409,762
C012,howd,LV,post,415,507,1143
C012,hoyd,LV,post,286,760,1002
C012,hud,LV,post,131,861,1051
C012,whod,LV,post,256,454,1337
C013,had,LV,post,212,1077,1757
C013,haired,LV,post,388,610,2176
C013,hard,LV,post,358,855,1322
C013,hayed,LV,post,366,615,2447
C013,head,LV,post,196,725,2328
C013,hear,LV,post,363,718,2094
C013,heard,LV,post,304,501,1612
C013,heed,LV,post,278,322,2879
C013,hid,LV,post,142,531,2423
C013,hide,LV,post,294,970,1778
C013,hoard,LV,post,329,663,1309
C013,hod,LV,post,185,725,1550
C013,hoed,LV,post,371,634,1819
C013,hood,LV,post,218,522,1619
C013,howd,LV,post,337,1152,1745
C013,hoyd,LV,post,372,698,1736
C013,hud,LV,post,183,720,1668
C013,whod,LV,post,340,505,1193
C017,had,LV,post,189,1201,2031
C017,haired,LV,post,297,899,2335
C017,hard,LV,post,377,939,1451
C017,hayed,LV,post,451,576,3163
C017,head,LV,post,160,654,2692
C017,hear,LV,post,389,923,2172
C017,heard,LV,post,387,1004,1966
C017,heed,LV,post,302,459,3262
C017,hid,LV,post,166,548,2293
C017,hide,LV,post,273,1024,1974
C017,hoard,LV,post,317,646,1249
C017,hod,LV,post,136,861,1338
C017,hoed,LV,post,394,606,2314
C017,hood,LV,post,156,582,2086
C017,howd,LV,post,324,1148,1907
C017,hoyd,LV,post,295,637,1460
C017,hud,LV,post,165,800,2391
C017,whod,LV,post,308,435,1825
C020,had,LV,post,208,1036,2029
C020,haired,LV,post,315,951,2292
C020,hard,LV,post,302,799,1606
C020,hayed,LV,post,281,501,2850
C020,head,LV,post,131,774,1670
C020,hear,LV,post,327,1039,1292
C020,heard,LV,post,226,771,2071
C020,heed,LV,post,263,489,3127
C020,hid,LV,post,110,562,2835
C020,hide,LV,post,292,965,2216
C020,hoard,LV,post,335,488,1355
C020,hod,LV,post,175,687,1416
C020,hoed,LV,post,305,607,2387
C020,hood,LV,post,107,596,1446
C020,howd,LV,post,315,821,1608
C020,hoyd,LV,post,264,661,2297
C020,hud,LV,post,163,942,1835
C020,whod,LV,post,288,464,2351
